DATE_OF_INTEREST,Cases,Hospitalizations,Deaths
2/29/2020,1,11,0
3/1/2020,0,4,0
3/2/2020,0,21,0
3/3/2020,2,20,0
3/4/2020,5,22,0
3/5/2020,3,20,0
3/6/2020,8,18,0
3/7/2020,7,15,0
3/8/2020,21,18,0
3/9/2020,58,49,0
3/10/2020,70,63,0
3/11/2020,155,90,1
3/12/2020,357,92,0
3/13/2020,620,157,0
3/14/2020,644,159,2
3/15/2020,1037,189,5
3/16/2020,2123,317,8
3/17/2020,2455,359,8
3/18/2020,2984,472,21
3/19/2020,3715,558,24
3/20/2020,4014,665,47
3/21/2020,2640,700,44
3/22/2020,2580,727,50
3/23/2020,3571,1036,82
3/24/2020,4506,1154,95
3/25/2020,4865,1303,123
3/26/2020,5051,1454,190
3/27/2020,5130,1393,218
3/28/2020,3478,1365,274
3/29/2020,3560,1408,292
3/30/2020,6132,1718,326
3/31/2020,5473,1698,384
4/1/2020,5464,1596,447
4/2/2020,5768,1620,499
4/3/2020,5676,1602,498
4/4/2020,3869,1344,510
4/5/2020,3794,1329,580
4/6/2020,6377,1724,576
4/7/2020,6065,1604,597
4/8/2020,5585,1542,569
4/9/2020,5074,1429,561
4/10/2020,4520,1337,539
4/11/2020,3733,1099,543
4/12/2020,2890,995,573
4/13/2020,3311,1214,571
4/14/2020,4148,1088,512
4/15/2020,3878,982,455
4/16/2020,3528,883,414
4/17/2020,3580,904,384
4/18/2020,2172,665,392
4/19/2020,2346,593,399
4/20/2020,3794,725,364
4/21/2020,3064,661,323
4/22/2020,3463,599,312
4/23/2020,2844,533,332
4/24/2020,2538,551,316
4/25/2020,1595,403,265
4/26/2020,1003,375,247
4/27/2020,2297,444,271
4/28/2020,2731,445,228
4/29/2020,2342,408,240
4/30/2020,2024,346,222
5/1/2020,1889,353,209
5/2/2020,1060,262,192
5/3/2020,785,256,178
5/4/2020,1550,312,159
5/5/2020,1513,283,151
5/6/2020,1402,262,150
5/7/2020,1235,259,142
5/8/2020,1081,257,131
5/9/2020,657,185,100
5/10/2020,458,158,103
5/11/2020,1233,247,103
5/12/2020,1285,211,91
5/13/2020,1337,229,83
5/14/2020,1112,221,70
5/15/2020,875,234,86
5/16/2020,487,165,83
5/17/2020,359,125,77
5/18/2020,900,178,57
5/19/2020,1005,206,54
5/20/2020,1073,171,81
5/21/2020,1071,175,45
5/22/2020,1061,197,64
5/23/2020,465,135,60
5/24/2020,480,120,49
5/25/2020,469,141,49
5/26/2020,1055,153,37
5/27/2020,754,161,49
5/28/2020,641,140,38
5/29/2020,644,169,43
5/30/2020,349,99,54
5/31/2020,217,90,39
6/1/2020,666,124,34
6/2/2020,577,124,38
6/3/2020,517,115,42
6/4/2020,514,90,32
6/5/2020,410,65,28
6/6/2020,248,46,35
6/7/2020,198,48,24
6/8/2020,445,62,41
6/9/2020,424,51,33
6/10/2020,366,45,31
6/11/2020,359,41,21
6/12/2020,412,55,23
6/13/2020,196,28,14
6/14/2020,185,42,24
6/15/2020,379,49,20
6/16/2020,425,51,19
6/17/2020,352,41,20
6/18/2020,371,39,17
6/19/2020,356,41,17
6/20/2020,204,27,19
6/21/2020,176,34,28
6/22/2020,393,43,25
6/23/2020,381,42,27
6/24/2020,383,37,25
6/25/2020,297,37,19
6/26/2020,312,34,20
6/27/2020,210,37,21
6/28/2020,200,31,19
6/29/2020,440,38,25
6/30/2020,443,37,24
7/1/2020,396,29,12
7/2/2020,416,30,25
7/3/2020,229,23,24
7/4/2020,118,22,14
7/5/2020,153,24,17
7/6/2020,436,42,18
7/7/2020,460,41,13
7/8/2020,438,31,20
7/9/2020,392,41,10
7/10/2020,309,35,10
7/11/2020,253,28,13
7/12/2020,222,18,11
7/13/2020,471,45,17
7/14/2020,395,32,10
7/15/2020,417,23,14
7/16/2020,383,32,10
7/17/2020,363,46,14
7/18/2020,187,26,11
7/19/2020,136,30,6
7/20/2020,328,33,11
7/21/2020,260,22,12
7/22/2020,231,32,7
7/23/2020,200,32,7
7/24/2020,211,33,6
7/25/2020,97,27,8
7/26/2020,91,19,7
7/27/2020,198,32,3
7/28/2020,174,28,8
7/29/2020,125,21,2
7/30/2020,109,15,3
7/31/2020,48,1,0
8/1/2020,5,0,0
